FeatID,Average
1483,2.3073
466,2.3018
1626,2.301
1721,2.3008
1524,2.2946
808,2.278
1137,2.2726
1225,2.257
2021,2.2434
1197,2.2342
1192,2.2281
1955,2.2276
2148,2.2252
1422,2.2249
1063,2.2225
2139,2.2191
1717,2.2119
1476,2.2077
1156,2.1924
479,2.1824
1753,2.174
1325,2.1706
2087,2.168
73,2.1623
1112,2.1475
2147,2.1468
1131,2.1466
1267,2.1402
358,2.139
617,2.1234
426,2.1231
1455,2.1222
58,2.1196
2172,2.114
1648,2.1116
567,2.0997
1083,2.0991
1500,2.0947
1834,2.091
1277,2.0848
474,2.0826
1733,2.0709
356,2.0688
1222,2.0536
195,2.0525
1158,2.043
627,2.0343
2156,2.0283
423,2.0219
33,2.0165
2157,2.0058
253,2.0036
86,1.9952
1923,1.985
722,1.9846
1822,1.9821
925,1.9821
1555,1.9739
578,1.964
1875,1.9618
868,1.9559
2114,1.9535
1232,1.9535
754,1.9519
1565,1.9516
2006,1.9375
1538,1.9325
1247,1.9305
836,1.9281
783,1.915
323,1.9041
822,1.8989
1180,1.8987
1480,1.8894
635,1.8894
1305,1.8864
89,1.8825
243,1.8803
453,1.877
371,1.877
590,1.8761
1882,1.8761
1534,1.8751
1640,1.8673
1228,1.8622
2033,1.8613
2017,1.8547
1351,1.849
263,1.8473
317,1.8471
1673,1.8364
1379,1.8341
781,1.8295
279,1.8193
51,1.815
